Composition,Eg (eV),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
TlCl,3.468,49,64,17,81,119.918,168.931,35.4527,204.383,4.5,3,3,6,15,4,13,17,6.5,3,5,8,1,0,1,1,85,18,76,94,1.45,0.9,1,1.9,1.235,0.49,0.99,1.48,1.6225,1.225,1.01,2.235,1.45,0.9,1,1.9,1.35,0.64,1.03,1.67,2.39,1.54,1.62,3.16,2.335,1.29,1.69,2.98,5.7532,2.1828,4.6618,6.8446,5.75,5.1,3.2,8.3,2.329,1.08,1.789,2.869,1.72,3.44,0,3.44,5,4,3,7,2,0,2,2,3,4,1,5,5,10,0,10,5,4,3,7,920,662,589,1251,4.9,5.4,2.2,7.6,374.15,404,172.15,576.15,984.35,1491.6,238.55,1730.15,5.95161,11.8968,0.00321,11.9,0.305,0.35,0.13,0.48,3.686,0.912,3.23,4.142,87.15,153.9,10.2,164.1,23.0544,46.0911,0.0089,46.1,151.5,61,121,182,1.64,0.48,1.4,1.88
Cs2AgBiCl6,2.77,85.5,19,17,83,198.844,3.73583,35.4527,208.98,10.25,12,3,6,32.5,100,1,17,14.75,46,1,8,1.75,6,0,1,181.25,554,5,94,3.6,0.8,1,2.6,3.36,1.24,0.99,2.35,4.763,2.56,1.01,4.31,3.6,0.8,1,2.6,4.025,2.45,1.17,1.81,6.1225,17.38,0.79,3.16,5.6575,16.34,0.77,2.98,14.6534,37.2154,3.8522,6.8446,15.8225,45.44,2.18,8.3,5.603,15.896,0.659,2.869,2.61,5.44,0,5.44,15,9,1,11,4.25,11,1,2,8.25,30,0,5,5,10,0,10,12.5,41,1,7,2423,6754,376,1251,36.925,106,2.2,59.6,853.825,202.25,172.15,1235.15,1908.47,1053.85,238.55,2485.15,6.00232,10.4807,0.00321,10.5,0.92875,2.76,0.12,0.48,11.541,7.116,2.092,11.3,138.015,189.38,10.2,250.58,138.731,428.947,0.0089,429,343.75,126,79,284,3.7845,1.342,0.804,2.95
CdSnP2,1.5,42.6667,20,15,50,97.6895,56.7625,30.9738,118.71,5.33333,1,3,5,18.6667,18,12,15,7.66667,10,4,7,1,2,0,1,105.333,96,70,83,1.66667,0.45,1,1.55,1.67,0.64,1.06,1.48,2.19167,0.265,1.24,2.215,1.66667,0.45,1,1.55,0.743333,0.3,0.31,0.92,2.67667,2.69,1.69,2.19,2.64,3.24,1.4,2.32,6.14317,5.9995,3.9187,4.9591,6.62333,6.94,4.3,5.62,2.61667,2.986,1.52,2.253,4.81333,1.56,3,4.44,8.66667,8,4,12,2.66667,2,2,2,2.66667,6,0,3,6.66667,20,0,10,4.66667,8,2,5,1200.33,1315,709,1012,7.36667,0.5,3.6,7.7,577.9,40.45,317.25,594.05,1562.53,1436.85,553.15,2543.15,6.53333,5.01,1.82,8.65,0.665667,1.313,0.227,0.77,4.845,5.715,0.657,7.029,139.876,271.542,12.129,295.8,54.6233,96.33,0.235,96.8,348,518,112,315,3.72,5.7,1.16,3.43
CuGaS2,2.53,30.6667,1,16,31,65.8003,5.591,32.066,69.723,4.66667,2,3,4,18.6667,21,11,16,7.66667,10,4,7,1.66667,0,1,2,104.667,112,64,88,1.55,0.65,1,1.35,1.49,0.78,1.02,1.26,1.97833,0.16,1.1,2.04,1.55,0.65,1,1.35,0.776667,0.1,0.43,0.76,2.95667,3.35,1.81,2.58,2.69333,4.22,1.08,2.65,6.5075,8.0279,3.6637,5.8458,6.70667,9.24,3.2,6.22,2.928,3.422,1.756,2.589,4.29333,1.44,2,5.44,8.66667,8,3,11,2.33333,1,1,2,3,8,0,4,3.33333,10,0,10,5.33333,11,1,6,1108,1421,579,1000,6.86667,2.3,2.9,8.1,810.333,1053.2,302.95,1356.15,2317.33,1404.45,717.85,2840.15,6.33333,4.82,2.07,8.96,0.723333,1.05,0.37,0.71,7.35833,9.615,1.7175,13.05,192.867,280.7,9.8,300.3,147.379,400.462,0.269,401,394,220,279,338,4,0.68,2.81,3.49
Ba2GaBiTe5,1.43,121.5,52,31,83,297.839,139.257,69.723,208.98,11.75,2,4,6,28,76,2,16,11,26,2,6,1.75,5,0,1,157,432,9,90,3.55,3,1.3,2.15,3.37,2.7,1.26,1.98,4.7115,1.546,1.67,3.402,3.55,3,1.3,2.15,2.615,2.22,0.76,1.49,4.0275,8.72,0.89,2.1,4.475,9.74,1.08,2.38,11.2862,23.0418,4.1672,5.4418,10.035,22.65,2.4,5.49,4.0795,9.028,0.881,2.158,5.11,6.56,2,3.44,10.5,26,2,6,4.5,0,2,2,6,20,0,4,15,50,0,10,5.5,5,2,5,1658.25,3339,503,869,30.6,51.9,5.5,39.7,1614.16,1693.35,302.95,998.15,3662.59,3638.6,1262.95,2676.15,13.4625,2.75,3.5,9.75,0.4745,0.25,0.12,0.37,29.96,81.86,5.59,17.49,227.562,4.05,52.55,258.7,24.255,28.85,2.35,40.6,459.5,74,180,286,4.935,0.99,1.9,2.81
Ca3B2N4,4.1,32.6667,50,5,20,65.961,98.612,10.811,40.078,8,4,2,4,30.6667,54,2,15,15.3333,22,2,7,2,4,0,1,164.333,307,7,82,3.23333,2.8,0.65,1.8,3.28667,2.22,0.75,1.74,4.25,6.84,0.54,3,3.23333,2.8,0.65,1.8,1.70667,2.92,0.25,1.14,6.41333,9.16,1,3.04,6.23667,7.89,1.17,2.85,15.2541,18.4952,3.0128,6.8834,14.7933,22.6,2.2,7.3,6.48933,9.162,1.034,3.066,8,6,2,3,10.6667,14,2,5,6,0,2,2,4.66667,12,0,3,0,0,0,0,10.6667,14,2,5,2993.33,3838,590,1402,26.2667,64,1.1,22.8,2764.58,4451.3,63.25,2352.15,3742.38,5336.9,77.35,2823.15,3.11167,4.675,0.00125,2.34,2.69667,2.27,0.63,1.04,42.4872,98.9584,0.3604,50.2,483.49,968.229,2.7928,489.7,218.035,599.896,0.02598,200,1190.67,612,178,573,12.2733,6.1,1.84,5.81
BaUSe3,1,83.3333,10,34,92,204.079,1.1489,78.96,238.029,8.33333,5,4,7,17.6667,46,2,16,8.66667,19,2,7,2,3,0,3,98.6667,258,9,89,2.45,1.3,1.15,2.15,2.29333,1.5,1.16,1.98,3.99233,0.865,1.285,4.72,2.45,1.3,1.15,2.15,1.34667,0.19,0.56,1.49,3.30667,6.76,0.89,2.55,3.46667,6.54,1.08,2.54,8.35657,13.9662,3.3168,5.761,7.82333,15.27,2.4,5.89,3.13433,6.421,0.881,2.434,4.59333,0.22,2,5.78,7.66667,16,2,6,3.33333,0,2,2,4,12,0,4,0.333333,1,0,1,7.33333,16,2,6,1308,2320,503,941,26.1667,28.3,3.8,39.7,1291.25,65.3,490.15,1405.15,2959.58,1216.7,958.15,4091.15,12.29,15.5,3.5,19,0.428,0.84,0.12,0.32,12.1173,11.562,6.694,8.52,244.033,363.9,37.7,477,17.3733,21.48,2.04,27.6,450.333,310,180,490,4.94333,3.65,1.9,5.55
Sb2Se3,1.4,102,0,34,51,240.2,6.64,78.96,121.76,11,2,4,5,39,18,15,16,16.5,9,6,7,2.5,1,1,1,218.5,97,85,89,3.175,0.55,1.15,1.45,3.14,0.68,1.16,1.4,3.6925,0.325,1.285,1.765,3.175,0.55,1.15,1.45,1.74,0.12,0.56,0.9,5.875,3.55,2.05,2.55,5.95,3.34,2.14,2.54,13.6368,7.2924,4.9953,5.761,13.685,7.97,4.85,5.89,5.635,3.334,1.984,2.434,6,0,2,3,14,8,5,6,5,2,2,2,9,6,3,4,10,20,0,10,11,14,2,6,2245.5,1155,834,941,12.3,1.8,3.8,6.6,1639.38,337.85,490.15,904.15,3660.38,1571.85,958.15,2223.15,13.875,0.99,4.79,6.69,0.69,0.54,0.21,0.32,29.911,19.658,6.694,19.87,133.69,41.18,37.7,77.14,27.36,42.48,2.04,24.3,602.5,157,227,262,6.44,1.88,2.46,2.75
SmIn3S6,1.18,101.667,34,16,62,229.07,42.036,32.066,150.36,13,12,3,6,46,93,3,16,20,39,3,7,4,3,1,3,258.667,505,23,88,4.16667,4.15,1,1.85,4.02,4.5,1.02,1.62,5.63,2.46,1.1,4.14,4.16667,4.15,1,1.85,2.16667,1.48,0.43,1.1,7.33,14.31,1.17,2.58,7.33,14.7,1.2,2.65,17.5571,22.3737,4.2337,5.8458,16.5733,28.02,3.1,6.22,7.19733,14.444,1.09,2.589,8.37333,1.68,2,3.44,16,27,3,6,6.66667,0,2,2,9,24,0,4,10,30,0,10,14.6667,30,2,6,2739.67,5455,545,1000,25.1,11.4,2.9,28.8,1650.7,968.55,385.95,1347.15,4477.9,2752.35,717.85,2353.15,13.9567,4.9,2.07,7.52,1.71667,4.06,0.2,0.71,9.57467,1.675,1.7175,8.63,306.567,635.7,9.8,231.5,86.5713,243.186,0.269,81.6,870,1467,207,279,8.93333,14.96,2.14,2.85
ZnIn2S4,2.8,64,34,16,49,141.097,101.372,32.066,114.818,8.66667,2,3,5,34,52,12,16,14,24,4,7,2.66667,2,1,2,190.333,283,69,88,2.81667,0.9,1,1.55,2.73667,1.2,1.02,1.44,3.46,0.3,1.1,2.05,2.81667,0.9,1,1.55,1.44667,0.16,0.43,0.94,5.17667,8.67,1.65,2.58,5.1,9.16,1.44,2.65,11.8674,19.6317,3.7515,5.8458,11.8433,18.68,3.1,6.22,5.086,8.766,1.59,2.589,6.44,3.56,2,4.44,14,6,3,12,4.66667,6,2,2,6,16,0,4,10,40,0,10,10,20,2,6,2007.33,2884,558,1000,12.4667,7.8,2.9,9.7,1032.02,851.05,385.95,692.75,2918.95,1834.9,717.85,2353.15,10.01,6.34,2.07,7.31,1.23,2.38,0.23,0.71,6.906,0.452,1.7175,7.322,205.833,423.8,9.8,231.5,93.4253,114.924,0.269,116,577.667,985,131,279,5.93,10.05,1.35,2.85
Cu0.5Pb1.75GeS4,1.48,63.5,79.5,16,82,148.812,234.336,32.066,207.2,7.125,1.5,3,6,27,58.5,11,16,11.1875,26,4,7,1.9375,3,1,2,151.188,320,64,88,2.26875,0.85,1,1.8,2.11437,1.5075,1.02,1.47,2.65937,0.7425,1.1,2.09,2.26875,0.85,1,1.8,1.30313,0.8875,0.43,1.49,4.1075,7.17,1.8,2.58,4.1225,10.06,1.08,2.65,9.53784,21.5513,3.6637,5.8458,9.63625,18.055,3.9,6.22,4.12988,9.431,1.85,2.589,4.7475,5.28,2,5.44,10.125,1.5,4,11,3.5,7.5,1,2,5.375,16,0,4,5.625,17.5,0,10,8.875,23.5,1,6,1596.88,2747,716,1000,8.2375,0.3,2.9,6.8,1123.39,865.725,385.95,1356.15,2729.41,231.75,717.85,3103.15,9.5075,11.67,2.07,11.4,0.894375,2.6125,0.13,0.71,14.6833,30.07,1.7175,36.94,207.806,291.7,9.8,330.9,80.8127,199.424,0.269,401,501.25,34,196,377,5.13687,0.2975,2.03,3.85
ZnTe,2.26,41,22,30,52,96.495,62.21,65.39,127.6,4.5,1,4,5,14,4,12,16,5,2,4,6,1.5,1,1,2,79.5,21,69,90,1.375,0.05,1.35,1.4,1.305,0.11,1.25,1.36,1.775,0.21,1.67,1.88,1.375,0.05,1.35,1.4,0.925,0.37,0.74,1.11,1.875,0.45,1.65,2.1,1.91,0.94,1.44,2.38,4.59665,1.6903,3.7515,5.4418,4.97,1.04,4.45,5.49,1.874,0.568,1.59,2.158,3.22,2.44,2,4.44,9,6,6,12,2,0,2,2,2,4,0,4,10,0,10,10,2,0,2,2,887.5,37,869,906,5.95,0.9,5.5,6.4,707.7,29.9,692.75,722.65,1221.05,83.8,1179.15,1262.95,6.685,0.89,6.24,7.13,0.295,0.19,0.2,0.39,12.406,10.168,7.322,17.49,83.925,62.75,52.55,115.3,59.175,113.65,2.35,116,164,66,131,197,1.77,0.84,1.35,2.19
PAs,0.23,24,18,15,33,52.9477,43.9478,30.9738,74.9216,3.5,1,3,4,15,0,15,15,6.5,1,6,7,1,0,1,1,83.5,1,83,84,1.075,0.15,1,1.15,1.13,0.14,1.06,1.2,1.3275,0.175,1.24,1.415,1.075,0.15,1,1.15,0.515,0.41,0.31,0.72,2.185,0.01,2.18,2.19,2.295,0.05,2.27,2.32,5.06555,0.2129,4.9591,5.172,5.46,0.32,5.3,5.62,2.232,0.042,2.211,2.253,3,0,3,3,5,0,5,5,2,0,2,2,3,0,3,3,0,0,0,0,5,0,5,5,979.5,65,947,1012,3.95,0.7,3.6,4.3,703.7,772.9,317.25,1090.15,721.65,337,553.15,890.15,3.775,3.91,1.82,5.73,0.55,0.44,0.33,0.77,14.1785,27.043,0.657,27.7,23.4445,22.631,12.129,34.76,25.1175,49.765,0.235,50,308.5,13,302,315,3.195,0.47,2.96,3.43
FeAsSe,0.6,31,8,26,34,69.9095,23.113,55.847,78.96,4,0,4,4,13,8,8,16,5.66667,3,4,7,1.33333,1,1,2,76,34,55,89,1.23333,0.25,1.15,1.4,1.17667,0.04,1.16,1.2,1.60333,0.825,1.285,2.11,1.23333,0.25,1.15,1.4,0.656667,0.16,0.56,0.72,2.18667,0.72,1.83,2.55,2.16,0.87,1.67,2.54,4.784,2.342,3.419,5.761,5.08333,1.83,4.06,5.89,2.14833,0.634,1.8,2.434,3.59333,3.78,2,5.78,6.33333,3,5,8,2,0,2,2,2.33333,4,0,4,2,6,0,6,4.33333,4,2,6,883.333,185,762,947,5.5,4.6,3.8,8.4,1129.48,1318,490.15,1808.15,1623.82,2133,890.15,3023.15,6.12667,3.07,4.79,7.86,0.363333,0.12,0.32,0.44,16.0647,21.006,6.694,27.7,140.687,314.84,34.76,349.6,44.08,78.16,2.04,80.2,315.667,191,227,418,3.23333,1.82,2.46,4.28
Sb2O3,3.31,63,78,8,51,145.759,195.522,15.9994,121.76,8,4,2,5,39,18,15,16,16.5,9,6,7,2.5,1,1,1,215.5,91,85,87,2.35,1.1,0.6,1.45,2.495,0.61,0.73,1.4,2.4625,2.135,0.465,1.765,2.35,1.1,0.6,1.45,2.715,1.83,0.9,1.21,7.21,6.22,2.05,3.44,7.12,5.68,2.14,3.32,17.5508,15.1203,4.9953,8.3703,16.16,12.92,4.85,7.54,7.399,6.862,1.984,3.61,3,6,0,3,14,8,5,6,5,2,2,2,9,6,3,4,10,20,0,10,11,14,2,6,2805,2274,834,1314,7.7895,10.821,0.793,6.6,986.275,1644.05,54.75,904.15,2358.38,4175.85,90.15,2223.15,6.69215,13.3757,0.00143,6.69,1.59,2.34,0.21,0.92,20.2039,39.0722,0.22259,19.87,82.2549,144.05,3.4099,77.14,24.3401,48.5198,0.02674,24.3,635.5,223,249,262,6.68,2.36,2.62,2.75
KInGeS4,3.1,41,15,16,49,88.6976,13.446,32.066,114.818,6.25,7,3,5,23,63,1,16,10,27,1,7,1.5,4,0,1,127.25,349,3,88,2.25,1.8,1,2.2,2.1925,2.05,1.02,2.03,2.925,0.71,1.1,3.69,2.25,1.8,1,2.2,1.1775,0.2,0.43,1.52,3.7325,9.5,0.82,2.58,3.755,9.8,0.8,2.65,8.76142,20.595,2.7882,5.8458,8.75,22.46,2.42,6.22,3.685,9.622,0.734,2.589,4.11,3,1,4,8,23,1,6,3.25,7,1,2,4.75,16,0,4,2.5,10,0,10,7.75,23,1,6,1434.75,3581,419,1000,17.7,31.8,2.9,43.4,882.625,884.15,336.4,1220.55,2340.21,231.75,717.85,3103.15,5.4425,6.45,0.86,7.31,1.035,0.52,0.23,0.75,12.3517,30.07,1.7175,36.94,170.368,291.7,9.8,330.9,61.244,101.324,0.269,102.4,456.5,287,90,377,4.676,2.916,0.934,3.85
Ba2SnSe5,1.8,110.667,58,34,56,262.721,120.146,78.96,137.327,12.3333,8,4,6,32.6667,76,2,16,14.6667,31,2,7,2,5,0,1,181,427,9,89,3.83333,1.45,1.15,2.15,3.72333,1.84,1.16,1.98,5.03633,0.379,1.285,3.402,3.83333,1.45,1.15,2.15,2.15667,0.18,0.56,1.49,5.49667,10.97,0.89,2.55,5.58,10.54,1.08,2.54,14.1125,19.8652,4.4699,5.761,12.85,24.65,2.4,5.89,5.252,10.408,0.881,2.434,6,6,2,4,12.6667,26,2,6,5.33333,0,2,2,7.33333,20,0,4,3.33333,10,0,10,12,28,2,6,2140,3699,503,941,35.3667,60.4,3.8,39.7,1650.73,454.45,490.15,998.15,3720.07,2247.6,958.15,2543.15,12.7533,0.31,3.5,7.31,0.745,1.192,0.204,0.32,18.6663,17.97,6.694,7.75,256.1,107.3,37.7,295.8,37.8667,56.4,2.04,66.6,599,58,180,302,6.41333,0.66,1.9,3.14
ZrS3,2.28,44,8,16,40,93.711,4.974,32.066,91.224,7,4,3,5,26,44,4,16,12.5,17,4,7,2.5,1,1,2,154,220,44,88,2.275,1.45,1,1.55,2.255,1.61,1.02,1.45,3.0625,0.475,1.1,2.825,2.275,1.45,1,1.55,1.075,0.43,0.43,0.86,4.535,6.41,1.33,2.58,4.825,6.25,1.7,2.65,10.4947,14.0853,3.4521,5.8458,11.15,15.02,3.64,6.22,4.5435,6.447,1.32,2.589,5,2,2,4,11,14,4,6,4,4,2,2,6,12,0,4,1,2,0,2,10,16,2,6,1820,2360,640,1000,13.3,9.2,2.9,17.9,1641.5,967.3,385.95,2125.15,3401.85,2496.6,717.85,4650.15,6.36,0.3,2.07,6.51,1.2,1.86,0.27,0.71,11.0262,11.7475,1.7175,16.9,43.8,28.8,9.8,58.2,11.7535,21.893,0.269,22.7,723,228,279,609,7.4,2.3,2.85,6.25
Mn15Si26,0.702,369.5,11,14,25,777.147,93.8478,28.0855,54.938,69,18,3,4,234.5,259,7,14,108,96,4,6,28,4,1,2,1404,1248,52,78,24.8,7.6,1.1,1.4,23.205,11.31,1.11,1.17,35.11,3.62,1.42,2.22,24.8,7.6,1.1,1.4,11.275,1.75,0.4,0.81,36.325,26.15,1.55,1.9,41.04,20.88,1.98,2.04,79.4853,58.6597,3.3437,4.1852,89.91,68.22,3.72,4.77,38.033,23.566,1.75,1.916,95.35,17.3,4,5.78,104.5,1,4,7,41,22,2,2,26,52,0,2,37.5,75,0,5,67,74,2,4,15608.5,9707,717,787,140.7,0.6,5.4,9.4,33259.6,21004.7,1517.15,1683.15,50929.6,34804.7,2235.15,2628.15,86.015,50.87,2.33,7.43,12.83,11.26,0.48,0.71,747.525,1133.55,12.05,50.55,6989.86,5999.72,266,384.22,1982.65,3730.7,7.82,148,7983.5,7537,281,452,82.09,76.58,2.92,4.63
Pb0.94Se0.94Sn0.06Se0.06,0.185,28.52,75.04,34,82,70.2126,190.03,78.96,207.2,2.485,5.4,4,6,7.5,0.12,14,16,3,0.12,5,7,0.5,0,1,1,42.485,0.54,80,89,0.73225,1.623,1.15,1.8,0.6566,1.3122,1.16,1.47,0.8406,1.8875,1.285,2.09,0.73225,1.623,1.15,1.8,0.5005,1.367,0.56,1.49,1.0899,1.539,1.8,2.55,1.1144,0.0396,1.88,2.54,2.62313,0.070104,4.5926,5.761,2.4535,3.3126,3.9,5.89,1.07155,0.0366,1.824,2.434,1.1334,0.12,2,4,2.5,0.12,4,6,1,0,2,2,1.5,0.12,2,4,2.5,0.6,0,10,2.47,0.24,2,6,414.145,13.92,709,941,2.6635,0.234,3.8,7.7,271.267,535.202,490.15,600.65,750.775,95.1,958.15,2543.15,3.98615,10.4286,4.79,11.4,0.113955,0.103,0.13,0.32,2.9067,4.08932,4.799,7.029,55.6215,15.486,37.7,295.8,9.8045,3.8736,2.04,66.6,107.34,166.12,196,302,1.13915,1.7198,2.03,3.14
Hg0.9Cd0.1Se,1.3,36.9333,38,34,80,90.244,101.571,78.96,200.59,3.3,1.4,4,6,9.33333,14.8,12,16,3.66667,6.6,4,7,0.933333,1.8,0,2,53.3,82,70,89,0.885,0.995,1.15,1.55,0.883,0.181,1.16,1.49,1.22517,0.884,1.285,2.41,0.885,0.995,1.15,1.55,0.466333,0.468,0.56,0.92,1.50633,2.381,1.69,2.55,1.34033,2.4,1.4,2.54,4.52503,7.03034,3.9187,8.2469,3.58067,5.457,4.33,5.89,1.39,2.282,1.52,2.434,2.14667,2.44,2,4.44,6,6,6,12,1.33333,0,2,2,1.33333,4,0,4,3.33333,10,0,10,2.66667,5.8,2,6,644.7,819.5,868,1007,3.12667,3.08,3.8,7.2,253.46,151.42,234.25,594.05,543.033,463.32,630.15,1038.15,5.935,7.36,4.79,13.5,0.156033,0.1949,0.139,0.32,3.12623,4.6285,2.295,6.694,33.6544,27.743,37.7,99.57,6.40867,7.64,2.04,96.8,97.7,172.1,61,227,1.05967,1.857,0.67,2.46
HoN,1.9,37,60,7,67,89.4685,150.924,14.0067,164.93,4,4,2,6,9,12,3,15,5,4,3,7,2,2,1,3,57.5,49,33,82,1.2,1.1,0.65,1.75,1.165,0.83,0.75,1.58,2.095,3.11,0.54,3.65,1.2,1.1,0.65,1.75,0.67,0.74,0.3,1.04,2.135,1.81,1.23,3.04,2.025,1.65,1.2,2.85,6.19885,1.3691,5.5143,6.8834,5.2,4.2,3.1,7.3,2.078,1.976,1.09,3.066,3,0,3,3,4,2,3,5,2,0,2,2,1.5,3,0,3,0,0,0,0,3.5,3,2,5,991.5,821,581,1402,12.35,22.5,1.1,23.6,905.2,1683.9,63.25,1747.15,1525.25,2895.8,77.35,2973.15,4.40062,8.79875,0.00125,8.8,0.6,0.88,0.16,1.04,6.2802,11.8396,0.3604,12.2,121.896,238.207,2.7928,241,8.11299,16.174,0.02598,16.2,387,172,301,473,4.03,1.78,3.14,4.92
Zn3Sb2,0.2,96,12,30,51,219.845,47.35,65.39,121.76,11,2,4,5,33,6,12,15,12,0,4,6,4,4,1,2,188.5,37,69,85,3.475,1.15,1.35,1.45,3.275,0.95,1.25,1.4,4.585,2.11,1.765,1.88,3.475,1.15,1.35,1.45,2.01,0.42,0.74,0.9,4.525,0.85,1.65,2.05,4.3,0.04,1.44,2.14,10.6226,1.2639,3.7515,4.9953,11.525,3.65,4.45,4.85,4.369,0.802,1.59,1.984,9.66,7.32,3,4.44,23,26,5,12,5,2,2,2,3,6,0,3,25,10,10,10,5,2,2,2,2193,1050,834,906,16.2,6,6.4,6.6,1943.28,269.95,692.75,904.15,3991.88,908.85,1179.15,2223.15,17.385,8.01,6.69,7.13,0.795,0.75,0.21,0.39,30.853,17.774,7.322,19.87,250.09,191.62,77.14,115.3,198.3,299.4,24.3,116,458.5,131,131,262,4.775,1.45,1.35,2.75
Cu0.2Ga1.8Se2.8,1.86,52.2667,89.4,29,34,119.766,208.379,63.546,78.96,6.4,0,4,4,23.4667,42.6,11,16,9.8,18.8,4,7,1.66667,2.4,1,2,131.733,236.4,64,89,1.94333,2.95,1.15,1.35,1.91667,0.98,1.16,1.26,2.35233,3.19,1.285,2.04,1.94333,2.95,1.15,1.35,1.026,0.2,0.56,0.76,3.59267,3.882,1.81,2.55,3.46267,6.896,1.08,2.54,8.1215,15.3981,3.6637,5.761,7.716,10.732,3.2,5.89,3.44867,3.6544,1.756,2.434,4.29333,4.512,2,5.44,8.13333,3.2,3,11,3.13333,0.2,1,2,4.33333,11.2,0,4,0.666667,2,0,10,7.46667,16.6,1,6,1275.33,1592.6,579,941,8.85333,3.94,3.8,8.1,729.653,274.08,302.95,1356.15,2689.31,2114.79,958.15,2840.15,8.608,11.62,4.79,8.96,0.546,0.82,0.32,0.38,10.4717,7.452,5.59,13.05,210.427,45.5,37.7,300.3,52.9973,74.488,2.04,401,406,568,227,338,4.21467,6.19,2.46,3.49
Rb2CdP2Se6,2.58,89,18,15,48,204.764,50.4635,30.9738,112.411,11.25,1,3,5,35,94,1,16,15.5,40,1,7,2,6,0,1,194.5,526,4,89,3.7875,2.7,1,2.35,3.72,2.2,1.06,2.16,5.15125,5.72,1.24,4.1,3.7875,2.7,1,2.35,2.055,2.7,0.31,1.66,5.7525,13.66,0.82,2.55,5.72,13.64,0.8,2.54,13.695,28.1888,3.1886,5.761,13.8975,30.66,2.34,5.89,5.5105,13.192,0.706,2.434,6.11,2.44,1,4.44,15,10,1,12,5,10,1,2,7.5,24,0,4,2.5,10,0,10,12.5,34,1,6,2336,1218,403,1012,32.95,87.4,3.6,47.3,1198.39,30.05,312.05,594.05,2452.91,68.15,553.15,1038.15,11.0225,5.59,1.53,8.65,1.104,1.31,0.23,0.77,13.0135,38.85,0.657,6.694,123.615,75.312,12.129,99.57,56.4775,96.33,0.235,96.8,569,458,86,315,6.121,5.156,0.852,3.43
Pb0.92Se0.92Sn0.08Te0.08,0.22,28.72,44.16,34,82,70.743,117.981,78.96,207.2,2.5,1.84,4,6,7.5,0.16,14,16,2.98,6.04,5,7,0.5,0,1,1,42.5,0.8,80,90,0.7355,0.598,1.15,1.8,0.6603,0.2852,1.16,1.47,0.84725,0.7406,1.285,2.09,0.7355,0.598,1.15,1.8,0.5075,0.8556,0.56,1.49,1.0817,0.69,1.8,2.55,1.111,2.1864,1.88,2.54,2.61601,4.93271,4.5926,5.761,2.4475,1.8308,3.9,5.89,1.06588,2.09336,1.824,2.434,1.1412,0.16,2,4,2.5,0.16,4,6,1,0,2,2,1.5,0.16,2,4,2.7,0.8,0,10,2.38,5.36,2,6,412.67,809,709,941,2.702,2.88,3.8,7.7,275.44,393.126,490.15,722.65,759.521,678.046,958.15,2543.15,3.9947,6.0812,4.79,11.4,0.11204,0.1748,0.13,0.32,3.13377,3.01588,4.799,17.49,56.509,11.02,37.7,295.8,9.9672,3.4512,2.04,66.6,107.27,156.16,196,302,1.1393,1.6164,2.03,3.14
Ag3SbS3,1.81,80,3,16,51,180.521,25.562,32.066,121.76,9.66667,4,3,5,32,15,11,16,13,9,4,7,1.33333,3,0,1,181.333,69,65,88,3.08333,1.8,1,1.6,2.82667,1.66,1.02,1.4,4.06333,3.825,1.1,2.375,3.08333,1.8,1,1.6,2.02,2.58,0.43,1.29,5.19333,1.95,1.93,2.58,4.43333,4.74,1.07,2.65,11.3631,5.9808,3.8522,5.8458,12.2767,5.34,4.44,6.22,5.12033,2.157,1.87,2.589,8.44,10.32,2,5.44,18.6667,28,5,11,3.66667,3,1,2,5,12,0,4,13.3333,30,0,10,7.66667,15,1,6,2009,807,731,1000,13,15,2.9,7.9,1922.48,2547.6,385.95,1235.15,3944.05,5301.9,717.85,2485.15,14.8,25.29,2.07,10.5,1.015,1.92,0.21,0.71,19.6408,14.7175,1.7175,19.87,286.093,722.34,9.8,250.58,437.369,1286.19,0.269,429,650.333,590,262,284,6.71667,6.1,2.75,2.95
Cs2Hg4.65Cd1.35S7,1.84,164.7,260,16,80,393.693,708.282,32.066,200.59,16.9125,6.9,3,6,46.5,110,1,16,18.75,47,1,7,4.075,9.3,0,2,262.663,606,5,88,5.31687,1.8,1,2.6,5.19163,2.44,1.02,2.35,7.62919,0.92,1.1,4.31,5.31687,1.8,1,2.6,2.93288,0.61,0.43,1.81,7.80537,16.48,0.79,2.58,7.22713,17.01,0.77,2.65,23.356,33.0578,3.9187,8.2469,19.1442,39.18,2.18,6.22,7.41925,16.805,0.659,2.589,10.66,3.994,1,4.44,29,14.2,1,12,7,12,1,2,7,28,0,4,15,13.5,0,10,14,40,1,6,3401.59,3930.55,376,1007,43.5825,98.9,2.9,59.6,1298.99,287.295,234.25,594.05,2810.24,1528.69,630.15,1038.15,23.1706,59.035,1.87,13.5,1.60171,4.32365,0.139,0.71,8.80936,3.6633,1.7175,6.192,153.479,65.8195,9.8,99.57,72.336,128.797,0.269,96.8,636.462,1669.35,61,279,6.55987,16.8345,0.67,2.85
